id,Song_Name,Artist_Name,Genre,Released
0,mohabbat bhi jhoothi,mukesh,pop,1950
4,i believe,frankie laine,pop,1950
6,cry,johnnie ray,pop,1950
10,patricia,pérez prado,pop,1950
12,apopse eida oneiro,giorgos papadopoulos,pop,1950
14,round and round (with mitchell ayres and his orchestra & the ray charles singers),perry como,pop,1950
15,opm medley: when i met you,freestyle,pop,1950
17,it's not for me to say,johnny mathis,pop,1950
20,klapse me mana klapse me,stélios kazantzídis,pop,1950
23,finito la mouzika,stélios kazantzídis,pop,1950
28,"drømmer man om den, vågner..",liva weel,pop,1951
32,carolina moon,the chordettes,pop,1951
33,necessary evil,frankie laine,pop,1951
34,kanugona galano,ghantasala,pop,1951
36,the carioca,les paul,pop,1951
37,chicken reel,les paul,pop,1951
40,blue skies,les paul,pop,1951
44,dark eyes,les paul,pop,1951
53,kotha mukunda,asha bhosle,pop,1952
54,awaz deta hai sola ka din,asha bhosle,pop,1952
56,jahan men log sachhe ashikon ko,mohammed rafi,pop,1952
57,avanee nee pathi,ghantasala,pop,1952
58,ee jagamantha natika,ghantasala,pop,1952
62,smoke rings,les paul,pop,1952
64,hum tujhse mohabbat kar ke,mukesh,pop,1952
65,paas nahin aaiye haath na lagaiye,lata mangeshkar,pop,1952
66,main na janoon,lata mangeshkar,pop,1952
68,gullyachi shapath,asha bhosle,pop,1952
70,judai ki khabar hoti agar,lata mangeshkar,pop,1952
73,maagata maagata janm gele,lata mangeshkar,pop,1953
74,chupke chupke (from ''paying guest''),lata mangeshkar,pop,1953
75,chahe kitna mujhe tum bulao ji,asha bhosle,pop,1953
77,tu bol na bol,asha bhosle,pop,1953
80,raat andheri door savera,mukesh,pop,1953
84,thunintha pin,ghantasala,pop,1953
86,i'm sitting on top of the world,les paul,pop,1953
90,the world is waiting for the sunrise,les paul,pop,1953
99,ethanai periya,t. m. soundararajan,pop,1953
100,ansoo to nahin hai ankhon men,talat mahmood,pop,1953
101,it's the most wonderful time of the year,andy williams,pop,1953
102,chandan ka palna resham ko dori,lata mangeshkar,pop,1954
106,le chal ri nindiya le chal hamen,lata mangeshkar,pop,1954
110,after you've gone,frankie laine,pop,1954
115,mere hamsafar tujhe kya khabar,asha bhosle,pop,1954
118,viljen i veta (would you like to know?),sven-bertil taube,pop,1954
125,blue velvet,bobby vinton,pop,1954
126,poema,los hermanos arriagada,pop,1954
127,the bells of st. mary's,the drifters,pop,1954
128,for me and my gal,the chordettes,pop,1954
130,mark twain,harry belafonte,pop,1954
133,the next big river,harry belafonte,pop,1954
135,sitaron ki mehfil saji,lata mangeshkar,pop,1954
138,gopiparivrito,a. m. rajah,pop,1954
140,you're the cream in my coffee,jonah jones,pop,1954
148,kabhi khamosh rahte hain,lata mangeshkar,pop,1955
149,khanke to khanke,mohammed rafi,pop,1955
161,here am i,johnnie ray,pop,1955
164,brazil,les paul,pop,1955
167,"baby, won't you please come home",les paul,pop,1955
168,jezebel,frankie laine,pop,1955
169,two hound dogs,bill haley & his comets,pop,1955
181,sleep,les paul,pop,1955
183,mera dil yeh pukare aaja,lata mangeshkar,pop,1955
185,to you my love,ted heath,pop,1955
191,believe in me,ted heath,pop,1956
192,take the “a” train,ted heath,pop,1956
199,pahuni raghunandan savala,lata mangeshkar,pop,1956
201,come rock with me,bill haley & his comets,pop,1956
202,antar mantar jantar,lata mangeshkar,pop,1956
204,kahan se yeh sholon ka toofan aaya,lata mangeshkar,pop,1956
206,temptation,the platters,pop,1956
210,unchained melody,harry belafonte,pop,1956
217,on my word of honor,the platters,pop,1956
219,just my imagination (running away with me),pete yorn,pop,1956
221,don't you know i love you,the clovers,pop,1956
224,"love, your magic spell is everywhere",johnny mathis,pop,1956
229,heart of stone,the platters,pop,1956
235,have mercy,the platters,pop,1956
239,you've changed,the platters,pop,1956
244,i do adore her,harry belafonte,pop,1956
245,"ciao, ciao, bambina",jerry vale,pop,1956
246,non dimenticar,jerry vale,pop,1956
248,al di la,jerry vale,pop,1956
249,matilda,harry belafonte,pop,1956
250,devil or angel,the clovers,pop,1956
258,hosanna,harry belafonte,pop,1956
259,volare (nel blu dipinto di blu),jerry vale,pop,1956
261,why should i,the platters,pop,1956
262,in other words (fly me to the moon),johnny mathis,pop,1956
263,i'll never be free,lavern baker,pop,1956
265,remember when,the platters,pop,1956
268,love love love,the clovers,pop,1956
270,it might as well be spring,johnny mathis,pop,1956
271,at your beck and call,the platters,pop,1956
273,september in the rain,the platters,pop,1956
274,i give you my word,the platters,pop,1956
275,more,jerry vale,pop,1956
276,summertime in venice,jerry vale,pop,1956
283,here goes a fool,the clovers,pop,1956
284,chinna kelbyaadve nanna ppuraana,t. m. soundararajan,pop,1956
286,remember me (the girl in the wood),frankie laine,pop,1956
290,blood beach,groovie ghoulies,pop,1957
306,am i blue?,ricky nelson,pop,1957
307,don't ever love me,harry belafonte,pop,1957
308,angelique-o,harry belafonte,pop,1957
311,true love,ricky nelson,pop,1957
315,by myself,johnny mathis,pop,1957
317,warm,johnny mathis,pop,1957
318,panchhi banoon udti phiroon,lata mangeshkar,pop,1957
319,miss you,billy vaughn,pop,1957
320,one kiss,eddie cochran,pop,1957
321,i'm glad there is you,johnny mathis,pop,1957
322,"baby, baby, baby",johnny mathis,pop,1957
325,undying love,eddie cochran,pop,1957
326,your true love,ricky nelson,pop,1957
327,cu cu ru cu cu paloma,harry belafonte,pop,1957
329,cordelia brown,harry belafonte,pop,1957
330,dear heart,andy williams,pop,1957
331,completely sweet,eddie cochran,pop,1957
334,sittin' in the balcony,eddie cochran,pop,1957
335,a time for us,andy williams,pop,1957
337,soft sands,the chordettes,pop,1957
341,(where do i begin) love story,andy williams,pop,1957
343,canadian sunset,andy williams,pop,1957
346,kisses sweeter than wine,jimmie rodgers,pop,1957
348,eddie my love,the chordettes,pop,1957
350,come home to my arms,the chordettes,pop,1957
351,love never changes,the chordettes,pop,1957
352,tumsa nahin dekha,mohammed rafi,pop,1957
356,i can't love you enough,lavern baker,pop,1957
357,choopula kalasina subhavela,ghantasala,pop,1957
