id,Song_Name,Artist_Name,Genre,Released
0,mohabbat bhi jhoothi,mukesh,pop,1950
4,i believe,frankie laine,pop,1950
14,round and round (with mitchell ayres and his orchestra & the ray charles singers),perry como,pop,1950
20,klapse me mana klapse me,stélios kazantzídis,pop,1950
33,necessary evil,frankie laine,pop,1951
36,the carioca,les paul,pop,1951
40,blue skies,les paul,pop,1951
44,dark eyes,les paul,pop,1951
53,kotha mukunda,asha bhosle,pop,1952
57,avanee nee pathi,ghantasala,pop,1952
58,ee jagamantha natika,ghantasala,pop,1952
62,smoke rings,les paul,pop,1952
64,hum tujhse mohabbat kar ke,mukesh,pop,1952
66,main na janoon,lata mangeshkar,pop,1952
68,gullyachi shapath,asha bhosle,pop,1952
70,judai ki khabar hoti agar,lata mangeshkar,pop,1952
74,chupke chupke (from ''paying guest''),lata mangeshkar,pop,1953
75,chahe kitna mujhe tum bulao ji,asha bhosle,pop,1953
77,tu bol na bol,asha bhosle,pop,1953
84,thunintha pin,ghantasala,pop,1953
86,i'm sitting on top of the world,les paul,pop,1953
99,ethanai periya,t. m. soundararajan,pop,1953
102,chandan ka palna resham ko dori,lata mangeshkar,pop,1954
106,le chal ri nindiya le chal hamen,lata mangeshkar,pop,1954
115,mere hamsafar tujhe kya khabar,asha bhosle,pop,1954
138,gopiparivrito,a. m. rajah,pop,1954
164,brazil,les paul,pop,1955
167,"baby, won't you please come home",les paul,pop,1955
168,jezebel,frankie laine,pop,1955
185,to you my love,ted heath,pop,1955
199,pahuni raghunandan savala,lata mangeshkar,pop,1956
210,unchained melody,harry belafonte,pop,1956
224,"love, your magic spell is everywhere",johnny mathis,pop,1956
245,"ciao, ciao, bambina",jerry vale,pop,1956
246,non dimenticar,jerry vale,pop,1956
248,al di la,jerry vale,pop,1956
261,why should i,the platters,pop,1956
262,in other words (fly me to the moon),johnny mathis,pop,1956
263,i'll never be free,lavern baker,pop,1956
270,it might as well be spring,johnny mathis,pop,1956
274,i give you my word,the platters,pop,1956
276,summertime in venice,jerry vale,pop,1956
286,remember me (the girl in the wood),frankie laine,pop,1956
290,blood beach,groovie ghoulies,pop,1957
315,by myself,johnny mathis,pop,1957
318,panchhi banoon udti phiroon,lata mangeshkar,pop,1957
319,miss you,billy vaughn,pop,1957
321,i'm glad there is you,johnny mathis,pop,1957
322,"baby, baby, baby",johnny mathis,pop,1957
326,your true love,ricky nelson,pop,1957
329,cordelia brown,harry belafonte,pop,1957
331,completely sweet,eddie cochran,pop,1957
341,(where do i begin) love story,andy williams,pop,1957
343,canadian sunset,andy williams,pop,1957
352,tumsa nahin dekha,mohammed rafi,pop,1957
356,i can't love you enough,lavern baker,pop,1957
359,i'm alone because i love you,eddie cochran,pop,1957
394,you are too beautiful,the platters,pop,1957
396,that's all i need,lavern baker,pop,1957
404,in the garden,perry como,pop,1958
407,he's got the whole world in his hands,perry como,pop,1958
408,birth of the blues,perry como,pop,1958
410,where can i go?,johnny mathis,pop,1958
414,mona lisa,frankie laine,pop,1958
415,inbamae pongumae,a. m. rajah,pop,1958
426,"rose, rose, i love you",frankie laine,pop,1958
440,there goes my baby,ricky nelson,pop,1958
456,changing all those changes,buddy holly,pop,1958
458,no love (but your love),johnny mathis,pop,1958
463,pretty betty,bobby darin,pop,1958
469,sleigh ride,johnny mathis,pop,1958
472,to be loved,jackie wilson,pop,1958
473,when sunny gets blue,johnny mathis,pop,1958
478,poor little fool,ricky nelson,pop,1958
486,"blue days, black nights",buddy holly,pop,1958
491,winter wonderland,johnny mathis,pop,1958
502,long time gone,the everly brothers,pop,1958
507,you are my one desire,buddy holly,pop,1958
518,love letters,perry como,pop,1958
532,try a little tenderness,the platters,pop,1958
534,"god rest ye merry, gentlemen",mantovani,pop,1958
546,for the first time,the platters,pop,1958
558,blue christmas,johnny mathis,pop,1958
565,whispering wind,the platters,pop,1958
593,moon of gold,neil sedaka,pop,1959
607,i'm walkin',cliff richard & the shadows,pop,1959
621,love is all,jackie wilson,pop,1959
623,shiva shankari shivananda,ghantasala,pop,1959
651,you better go now,johnny mathis,pop,1959
653,i'm just a boy in love,johnny mathis,pop,1959
654,secret love,johnny mathis,pop,1959
662,i'll be home for christmas,connie francis,pop,1959
665,"touch me, lord jesus",lavern baker,pop,1959
680,prisoner of love,the platters,pop,1959
685,as time goes by,the flamingos,pop,1959
695,through a long and sleepless night,bobby darin,pop,1959
698,sweeter than you,ricky nelson,pop,1959
705,turn! turn! turn! (to everything there is a season),the byrds,pop,1959
715,yellow bird,the brothers four,pop,1959
716,stay beside me,ritchie valens,pop,1959
729,blueberry hill,fats domino,pop,1959
737,a teenager in love,dion & the belmonts,pop,1959
741,winter wonderland,connie francis,pop,1959
746,paddiwack song,ritchie valens,pop,1959
760,it's late,ricky nelson,pop,1959
767,"music, maestro, please!",the flamingos,pop,1959
776,i must be dreaming,neil sedaka,pop,1959
780,you alone,connie francis,pop,1959
781,all of me,esquivel!,pop,1959
784,all i need is you,neil sedaka,pop,1959
790,call me,johnny mathis,pop,1959
805,the sound of silence,simon & garfunkel,pop,1959
809,one way ticket,neil sedaka,pop,1959
814,another sleepless night,neil sedaka,pop,1959
815,it ain't necessarily so,bobby darin,pop,1959
816,stranger in paradise,johnny mathis,pop,1959
835,you've made me so very happy,"blood, sweat & tears",pop,1959
842,your cheating heart,jerry lee lewis,pop,1960
849,"lakutshn, ilanga",miriam makeba,pop,1960
850,"oh, true love",the everly brothers,pop,1960
857,with my eyes wide open i'm dreaming,patti page,pop,1960
860,don't come knockin',fats domino,pop,1960
870,you belong to my heart,the flamingos,pop,1960
871,a hole in the bucket,harry belafonte,pop,1960
881,memories are made of this,the everly brothers,pop,1960
883,some sweet day,the everly brothers,pop,1960
888,at night,the flamingos,pop,1960
890,guys and dolls,bobby darin,pop,1960
892,"a woman, a lover, a friend",jackie wilson,pop,1960
893,"theme from ""la fayette""",the brothers four,pop,1960
902,tenderly,the flamingos,pop,1960
919,don't blame me,johnny mathis,pop,1960
920,saathi na koi manzil,mohammed rafi,pop,1960
