id,Song_Name,Artist_Name,Genre,Released
6,cry,johnnie ray,pop,1950
14,round and round (with mitchell ayres and his orchestra & the ray charles singers),perry como,pop,1950
20,klapse me mana klapse me,stélios kazantzídis,pop,1950
32,carolina moon,the chordettes,pop,1951
33,necessary evil,frankie laine,pop,1951
57,avanee nee pathi,ghantasala,pop,1952
58,ee jagamantha natika,ghantasala,pop,1952
68,gullyachi shapath,asha bhosle,pop,1952
73,maagata maagata janm gele,lata mangeshkar,pop,1953
74,chupke chupke (from ''paying guest''),lata mangeshkar,pop,1953
75,chahe kitna mujhe tum bulao ji,asha bhosle,pop,1953
84,thunintha pin,ghantasala,pop,1953
86,i'm sitting on top of the world,les paul,pop,1953
99,ethanai periya,t. m. soundararajan,pop,1953
106,le chal ri nindiya le chal hamen,lata mangeshkar,pop,1954
115,mere hamsafar tujhe kya khabar,asha bhosle,pop,1954
135,sitaron ki mehfil saji,lata mangeshkar,pop,1954
138,gopiparivrito,a. m. rajah,pop,1954
148,kabhi khamosh rahte hain,lata mangeshkar,pop,1955
164,brazil,les paul,pop,1955
167,"baby, won't you please come home",les paul,pop,1955
169,two hound dogs,bill haley & his comets,pop,1955
183,mera dil yeh pukare aaja,lata mangeshkar,pop,1955
191,believe in me,ted heath,pop,1956
199,pahuni raghunandan savala,lata mangeshkar,pop,1956
201,come rock with me,bill haley & his comets,pop,1956
202,antar mantar jantar,lata mangeshkar,pop,1956
206,temptation,the platters,pop,1956
219,just my imagination (running away with me),pete yorn,pop,1956
221,don't you know i love you,the clovers,pop,1956
235,have mercy,the platters,pop,1956
239,you've changed,the platters,pop,1956
244,i do adore her,harry belafonte,pop,1956
248,al di la,jerry vale,pop,1956
249,matilda,harry belafonte,pop,1956
259,volare (nel blu dipinto di blu),jerry vale,pop,1956
270,it might as well be spring,johnny mathis,pop,1956
273,september in the rain,the platters,pop,1956
283,here goes a fool,the clovers,pop,1956
290,blood beach,groovie ghoulies,pop,1957
306,am i blue?,ricky nelson,pop,1957
308,angelique-o,harry belafonte,pop,1957
311,true love,ricky nelson,pop,1957
315,by myself,johnny mathis,pop,1957
318,panchhi banoon udti phiroon,lata mangeshkar,pop,1957
327,cu cu ru cu cu paloma,harry belafonte,pop,1957
334,sittin' in the balcony,eddie cochran,pop,1957
335,a time for us,andy williams,pop,1957
341,(where do i begin) love story,andy williams,pop,1957
343,canadian sunset,andy williams,pop,1957
360,i've grown accustomed to her face,johnny mathis,pop,1957
368,teen age goodnight,the chordettes,pop,1957
376,still,lavern baker,pop,1957
377,i don't know,the keynotes,pop,1957
390,in the middle of nowhere,the platters,pop,1957
397,aagaya veedhiyil,ghantasala,pop,1958
402,between the devil and the deep blue sea,perry como,pop,1958
404,in the garden,perry como,pop,1958
410,where can i go?,johnny mathis,pop,1958
411,夢斷巫山,張露,pop,1958
415,inbamae pongumae,a. m. rajah,pop,1958
419,cowboy jackie,maria koterbska,pop,1958
429,talk to me something,bobby darin,pop,1958
442,"oh, so many years",the everly brothers,pop,1958
445,i'll walk alone,ricky nelson,pop,1958
458,no love (but your love),johnny mathis,pop,1958
469,sleigh ride,johnny mathis,pop,1958
501,diana,frankie lymon,pop,1958
518,love letters,perry como,pop,1958
520,drifting away from you,the drifters,pop,1958
525,i'll take you home again kathleen,the platters,pop,1958
526,my serenade,the platters,pop,1958
532,try a little tenderness,the platters,pop,1958
534,"god rest ye merry, gentlemen",mantovani,pop,1958
537,all of me,jerry vale,pop,1958
541,that old feeling,the platters,pop,1958
546,for the first time,the platters,pop,1958
551,jealousy (jalousie),frankie laine,pop,1958
565,whispering wind,the platters,pop,1958
573,your cheatin' heart,frankie laine,pop,1958
579,that's my desire,frankie laine,pop,1958
586,moonglow,jerry vale,pop,1959
593,moon of gold,neil sedaka,pop,1959
594,i waited too long,neil sedaka,pop,1959
595,forty winks away,neil sedaka,pop,1959
597,no vacancy,neil sedaka,pop,1959
607,i'm walkin',cliff richard & the shadows,pop,1959
640,oceano,tony dallara,pop,1959
641,منك بخاف,rania,pop,1959
648,back in your own back yard,brenda lee,pop,1959
661,have yourself a merry little christmas,connie francis,pop,1959
665,"touch me, lord jesus",lavern baker,pop,1959
667,happiness,jackie wilson,pop,1959
670,superman,the brothers four,pop,1959
680,prisoner of love,the platters,pop,1959
681,if i didn't care,the platters,pop,1959
685,as time goes by,the flamingos,pop,1959
689,i'll never smile again,the platters,pop,1959
690,mama,connie francis,pop,1959
700,no one knows,dion & the belmonts,pop,1959
712,mrs. robinson,simon & garfunkel,pop,1959
720,you mean everything to me,neil sedaka,pop,1959
728,lonesome town,ricky nelson,pop,1959
729,blueberry hill,fats domino,pop,1959
733,ain't that a shame,fats domino,pop,1959
741,winter wonderland,connie francis,pop,1959
759,boulevard of broken dreams,esquivel!,pop,1959
760,it's late,ricky nelson,pop,1959
770,fool fool fool,the clovers,pop,1959
771,all about you,the clovers,pop,1959
778,one minute to one,ricky nelson,pop,1959
782,love in bloom,the platters,pop,1959
790,call me,johnny mathis,pop,1959
794,run samson run,neil sedaka,pop,1959
799,i have but one heart,connie francis,pop,1959
825,that's the way love is,bobby darin,pop,1959
827,a ride on a rainbow,johnny mathis,pop,1959
835,you've made me so very happy,"blood, sweat & tears",pop,1959
836,someone to need me (as i need you),jackie wilson,pop,1959
841,it's all in the game,ricky nelson,pop,1959
857,with my eyes wide open i'm dreaming,patti page,pop,1960
860,don't come knockin',fats domino,pop,1960
870,you belong to my heart,the flamingos,pop,1960
873,sweet leilani,sam cooke,pop,1960
881,memories are made of this,the everly brothers,pop,1960
888,at night,the flamingos,pop,1960
890,guys and dolls,bobby darin,pop,1960
892,"a woman, a lover, a friend",jackie wilson,pop,1960
893,"theme from ""la fayette""",the brothers four,pop,1960
894,summertime in venice,connie francis,pop,1960
897,tell me how long,the flamingos,pop,1960
899,steal your heart away,the moody blues,pop,1960
900,when i fall in love,the flamingos,pop,1960
920,saathi na koi manzil,mohammed rafi,pop,1960
927,sweet little you,neil sedaka,pop,1960
934,look inside your heart,neil sedaka,pop,1960
939,somebody to love,bobby darin,pop,1960
949,lonely guitar,annette funicello,pop,1960
953,chances are,ike & tina turner,pop,1960
955,sleepless,ike & tina turner,pop,1960
959,i love you,annette funicello,pop,1960
967,the wanderer,eden ahbez,pop,1960
970,(ain't that) good news,sam cooke,pop,1960
977,always it's you,the everly brothers,pop,1960
997,soul,sam cooke,pop,1960
1013,breaking up is hard to do,neil sedaka,pop,1960
1015,you send me,sam cooke,pop,1960
1024,my girl josephine,fats domino,pop,1960
1025,devil or angel,bobby vee,pop,1960
1041,"you, you, you",sam cooke,pop,1960
1045,girl of constant sorrow,joan baez,pop,1960
1054,mockin' bird hill,patti page,pop,1960
1076,heading home,brenda lee,pop,1960
1084,i'll wait for you,frankie avalon,pop,1960
1095,cincinnati fireball,johnny burnette,pop,1960
1098,don't lead me on,neil sedaka,pop,1960
1102,mary hamilton,joan baez,pop,1960
1105,i'm old fashioned,andy williams,pop,1961
1131,"love me, love me",ben e. king,pop,1961
