,_id,ltable_id,rtable_id,ltable_Song_Name,ltable_Artist_Name,ltable_Genre,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Genre,rtable_Released,label
0,0,161,17351,shake it up,selena gomez,"pop , music , teen pop , soundtrack , soundtrack",2011,shake it up,selena gomez,pop,2011,-1
1,1,176,17351,shake it up,rosero mccoy,"soundtrack , music",2011,shake it up,selena gomez,pop,2011,-1
2,2,191,44962,with love,hilary duff,"children 's music , music",2008,with love,thin lizzy,blues,1979,-1
3,3,245,75894,brother,x ambassadors,"alternative , music , rock , adult alternative",2013,brother,alice in chains,rock,1992,-1
4,4,246,75894,brother,x ambassadors,"alternative , music , rock , adult alternative",2013,brother,alice in chains,rock,1992,-1
5,5,247,75894,brother,x ambassadors,"alternative , music , rock , adult alternative",2013,brother,alice in chains,rock,1992,-1
6,6,257,75894,brother,x ambassadors,"alternative , music , rock , adult alternative",2013,brother,alice in chains,rock,1992,-1
7,7,259,75894,brother,x ambassadors,"alternative , music , rock , adult alternative",2013,brother,alice in chains,rock,1992,-1
8,8,281,75894,brother,x ambassadors,"alternative , music , rock , adult alternative",2013,brother,alice in chains,rock,1992,-1
9,9,254,59918,shining,x ambassadors,"alternative , music , rock , adult alternative , electronic",2015,shining,peace orchestra,jazz,1999,-1
10,10,277,59918,shining,x ambassadors,"alternative , music , rock , adult alternative , electronic",2015,shining,peace orchestra,jazz,1999,-1
11,11,278,59918,shining,x ambassadors,"alternative , music , rock , adult alternative , electronic",2015,shining,peace orchestra,jazz,1999,-1
12,12,279,59918,shining,x ambassadors,"alternative , music , rock , adult alternative , electronic",2015,shining,peace orchestra,jazz,1999,-1
13,13,444,17367,levels,nick jonas,"pop , music",2015,levels,avicii,pop,2011,-1
14,14,446,17455,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,ed sheeran,pop,2011,-1
15,15,446,44377,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,santana,blues,1977,-1
16,16,459,17455,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,ed sheeran,pop,2011,-1
17,17,459,44377,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,santana,blues,1977,-1
18,18,460,17455,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,ed sheeran,pop,2011,-1
19,19,460,44377,give me love,ed sheeran,"singer/songwriter , music,folk-rock , rock , adult alternative , singer/songwriter , contemporary singer/songwriter",2011,give me love,santana,blues,1977,-1
