id,Song_Name,Artist_Name,Genre,Released
0,runaway train,cam,"country , music , contemporary country , honky tonk",2015
2,lips are movin,meghan trainor,"pop , music , pop/rock , dance , rock , teen pop",2015
3,i want a hippopotamus for christmas,a great big world,"holiday , music",2014
4,credit,meghan trainor,"pop , music , rock , pop/rock , dance , teen pop",2015
5,lips are movin,meghan trainor,"pop , music , pop/rock , dance , rock , teen pop",2015
6,lips are movin,meghan trainor,"pop , music , pop/rock , dance , rock , teen pop",2015
7,lips are movin,meghan trainor,"pop , music , pop/rock , dance , rock , teen pop",2015
8,lips are movin,meghan trainor,"pop , music , pop/rock , dance , rock , teen pop",2015
10,wrapped up ( live ),olly murs,"pop , music",2015
11,lips are movin,meghan trainor,"pop , music , pop/rock , dance , rock , teen pop",2015
12,lips are movin,meghan trainor,"pop , music , pop/rock , dance , rock , teen pop",2015
13,on trees and birds and fire ( chs6 edit ) [ sam feldt & bloombox remix ],i am oak,"dance , music",2015
14,summertime sadness ( lana del rey vs. cedric gervais ) [ cedric gervais remix ],lana del rey & cedric gervais,"dance , music , rock , adult alternative , electronic",2013
15,thank you baby,krankbrother,"dance , music",2014
16,ride ( lyla 's surprise ) [ james lavelle remix ],lana del rey,"alternative , music , rock",2012
17,west coast ( mk remix ),lana del rey,"alternative , music , rock",2014
18,young and beautiful [ lana del rey vs. cedric gervais ] [ cedric gervais remix radio edit ],lana del rey & cedric gervais,"alternative , music , rock",2013
19,tropico,lana del rey,"alternative , music",2013
20,blue jeans ( penguin prison remix ),lana del rey,"alternative , music , rock , adult alternative",2012
21,blue jeans ( penguin prison remix ),lana del rey,"alternative , music , rock , adult alternative",2012
22,i need somebody tonight ( feat . thelma houston ) [ audiowhores remix ],joey negro,"dance , music",2013
23,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
24,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
25,summertime sadness ( lana del rey vs. cedric gervais ) [ cedric gervais extended remix ],lana del rey & cedric gervais,"alternative , music , dance , rock , adult alternative , electronic",2014
26,blue jeans ( penguin prison remix ),lana del rey,"alternative , music , rock , adult alternative",2012
27,ultraviolence ( hook n sling remix ),lana del rey,"alternative , music",2015
28,blue jeans ( penguin prison remix ),lana del rey,"alternative , music , rock , adult alternative",2012
29,west coast ( mk remix ),lana del rey,"alternative , music , rock",2014
30,face down earth ( hk tropical house edit ) [ urban contact remix ],olympique,"dance , music",2015
31,video games ( we donš -- èt belong in pacha remix ),lana del rey,"alternative , music , rock , adult alternative",2012
32,video games ( we donš -- èt belong in pacha remix ),lana del rey,"alternative , music , rock , adult alternative",2012
33,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
34,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
35,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
36,west coast ( mk remix ),lana del rey,"alternative , music , rock",2014
37,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
38,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
39,wasting time ( hk deep disco edit ),lucas nord,"dance , music",2015
40,bring me joy ( hk miami 2015 edit ),dj eibhlin,"dance , music",2015
41,blue jeans ( penguin prison remix ),lana del rey,"alternative , music , rock , adult alternative",2012
42,video games ( omid 16b instrumental reprise ),lana del rey,"dance , music , rock , adult alternative",2013
43,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
44,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
45,tropico,lana del rey,"alternative , music",2013
46,ride ( lyla 's surprise ) [ james lavelle remix ],lana del rey,"alternative , music , rock",2012
47,ride ( lyla 's surprise ) [ james lavelle remix ],lana del rey,"alternative , music , rock",2012
48,video games ( omid 16b instrumental reprise ),lana del rey,"dance , music , rock , adult alternative",2013
49,video games ( omid 16b instrumental reprise ),lana del rey,"dance , music , rock , adult alternative",2013
50,video games ( omid 16b instrumental reprise ),lana del rey,"dance , music , rock , adult alternative",2013
51,video games ( omid 16b instrumental reprise ),lana del rey,"dance , music , rock , adult alternative",2013
52,video games ( omid 16b instrumental reprise ),lana del rey,"dance , music , rock , adult alternative",2013
53,video games ( omid 16b instrumental reprise ),lana del rey,"dance , music , rock , adult alternative",2013
54,over and out ( miami sessions 2013 edit ) [ instrumental mix ],kink & marc romboy,"dance , music",2013
55,twisted sister ( ibiza sessions 2013 edit ) [ dj hell 's dehousing berlin mix ],m.a.n.d.y.,"dance , music",2013
56,summertime sadness ( mk lee foss cold blooded remix ),lana del rey,"dance , music",2013
57,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
58,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
59,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
60,falling ( commited to sparkle motion ) [ ibiza annual 2013 edit ] [ axwell radio edit ],discopolis,"dance , music",2013
61,tropico,lana del rey,"alternative , music",2013
62,everything you never had ( we had it all ) [ esrr edit ] [ feat . andreya triana ],breach,"dance , music",2014
63,west coast ( mk remix ),lana del rey,"alternative , music , rock",2014
64,abandon window ( tmatnb edit ),jon hopkins,"dance , music , electronic",2014
65,all of me ( ti ' âsto 's birthday treatment remix - radio edit ),john legend,"pop , music",2014
66,a mother 's prayer,c ' © line dion,"soundtrack , music",2014
67,this is what it feels like ( feat . trevor guthrie ),armin van buuren,"fitness & workout , music",2013
68,boy ( mk deep dub ),k.e.l.s.e.y.,"dance , music",2013
69,deflowered ( hieroglyphic being remix ),special request,"dance , music , electronic , rock , jungle/drum 'n' bass",2013
70,addicted 2 the bass ( edm euphoria 2013 edit ) [ daahype 's trap vip ],wideboys,"dance , music",2013
71,bullet that saved me ( pump it up edit ) [ feat . underdown ] [ festival mix ],tritonal,"fitness & workout , music",2013
72,claire,clarian & guy gerber,"dance , music",2013
73,night light ( running trax summer 60 min mix ) [ joe goddard remix ],jessie ware,"fitness & workout , music , pop",2013
74,rac radio ( continuous dj mix ),rac,"electronic , music , dance",2012
75,hallelujah anyway ( larse vocal edit ),candi staton,"dance , music",2012
76,video games ( we donš -- èt belong in pacha remix ),lana del rey,"alternative , music , rock , adult alternative",2012
77,video games ( we donš -- èt belong in pacha remix ),lana del rey,"alternative , music , rock , adult alternative",2012
78,video games ( we donš -- èt belong in pacha remix ),lana del rey,"alternative , music , rock , adult alternative",2012
79,blue jeans ( penguin prison remix ),lana del rey,"alternative , music , rock , adult alternative",2012
80,donš -- èt go ( feat . josh kumra ),wretch 32,"pop , music",2012
