,id,Song_Name,Artist_Name,Genre,Released
0,0,runaway train,cam,"country , music , contemporary country , honky tonk",2015
1,2,lips are movin,meghan trainor,"pop , music , pop/rock , dance , rock , teen pop",2015
2,3,i want a hippopotamus for christmas,a great big world,"holiday , music",2014
3,4,credit,meghan trainor,"pop , music , rock , pop/rock , dance , teen pop",2015
4,5,lips are movin,meghan trainor,"pop , music , pop/rock , dance , rock , teen pop",2015
5,6,lips are movin,meghan trainor,"pop , music , pop/rock , dance , rock , teen pop",2015
6,7,lips are movin,meghan trainor,"pop , music , pop/rock , dance , rock , teen pop",2015
7,8,lips are movin,meghan trainor,"pop , music , pop/rock , dance , rock , teen pop",2015
8,10,wrapped up ( live ),olly murs,"pop , music",2015
9,11,lips are movin,meghan trainor,"pop , music , pop/rock , dance , rock , teen pop",2015
10,12,lips are movin,meghan trainor,"pop , music , pop/rock , dance , rock , teen pop",2015
11,13,on trees and birds and fire ( chs6 edit ) [ sam feldt & bloombox remix ],i am oak,"dance , music",2015
12,14,summertime sadness ( lana del rey vs. cedric gervais ) [ cedric gervais remix ],lana del rey & cedric gervais,"dance , music , rock , adult alternative , electronic",2013
13,15,thank you baby,krankbrother,"dance , music",2014
14,16,ride ( lyla 's surprise ) [ james lavelle remix ],lana del rey,"alternative , music , rock",2012
15,17,west coast ( mk remix ),lana del rey,"alternative , music , rock",2014
16,18,young and beautiful [ lana del rey vs. cedric gervais ] [ cedric gervais remix radio edit ],lana del rey & cedric gervais,"alternative , music , rock",2013
17,19,tropico,lana del rey,"alternative , music",2013
18,20,blue jeans ( penguin prison remix ),lana del rey,"alternative , music , rock , adult alternative",2012
19,21,blue jeans ( penguin prison remix ),lana del rey,"alternative , music , rock , adult alternative",2012
20,22,i need somebody tonight ( feat . thelma houston ) [ audiowhores remix ],joey negro,"dance , music",2013
21,23,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
22,24,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
23,25,summertime sadness ( lana del rey vs. cedric gervais ) [ cedric gervais extended remix ],lana del rey & cedric gervais,"alternative , music , dance , rock , adult alternative , electronic",2014
24,26,blue jeans ( penguin prison remix ),lana del rey,"alternative , music , rock , adult alternative",2012
25,27,ultraviolence ( hook n sling remix ),lana del rey,"alternative , music",2015
26,28,blue jeans ( penguin prison remix ),lana del rey,"alternative , music , rock , adult alternative",2012
27,29,west coast ( mk remix ),lana del rey,"alternative , music , rock",2014
28,30,face down earth ( hk tropical house edit ) [ urban contact remix ],olympique,"dance , music",2015
29,31,video games ( we donš -- èt belong in pacha remix ),lana del rey,"alternative , music , rock , adult alternative",2012
30,32,video games ( we donš -- èt belong in pacha remix ),lana del rey,"alternative , music , rock , adult alternative",2012
31,33,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
32,34,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
33,35,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
34,36,west coast ( mk remix ),lana del rey,"alternative , music , rock",2014
35,37,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
36,38,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
37,39,wasting time ( hk deep disco edit ),lucas nord,"dance , music",2015
38,40,bring me joy ( hk miami 2015 edit ),dj eibhlin,"dance , music",2015
39,41,blue jeans ( penguin prison remix ),lana del rey,"alternative , music , rock , adult alternative",2012
40,42,video games ( omid 16b instrumental reprise ),lana del rey,"dance , music , rock , adult alternative",2013
41,43,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
42,44,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
43,45,tropico,lana del rey,"alternative , music",2013
44,46,ride ( lyla 's surprise ) [ james lavelle remix ],lana del rey,"alternative , music , rock",2012
45,47,ride ( lyla 's surprise ) [ james lavelle remix ],lana del rey,"alternative , music , rock",2012
46,48,video games ( omid 16b instrumental reprise ),lana del rey,"dance , music , rock , adult alternative",2013
47,49,video games ( omid 16b instrumental reprise ),lana del rey,"dance , music , rock , adult alternative",2013
48,50,video games ( omid 16b instrumental reprise ),lana del rey,"dance , music , rock , adult alternative",2013
49,51,video games ( omid 16b instrumental reprise ),lana del rey,"dance , music , rock , adult alternative",2013
50,52,video games ( omid 16b instrumental reprise ),lana del rey,"dance , music , rock , adult alternative",2013
51,53,video games ( omid 16b instrumental reprise ),lana del rey,"dance , music , rock , adult alternative",2013
52,54,over and out ( miami sessions 2013 edit ) [ instrumental mix ],kink & marc romboy,"dance , music",2013
53,55,twisted sister ( ibiza sessions 2013 edit ) [ dj hell 's dehousing berlin mix ],m.a.n.d.y.,"dance , music",2013
54,56,summertime sadness ( mk lee foss cold blooded remix ),lana del rey,"dance , music",2013
55,57,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
56,58,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
57,59,this is what makes us girls,lana del rey,"alternative , music , rock , adult alternative",2013
58,60,falling ( commited to sparkle motion ) [ ibiza annual 2013 edit ] [ axwell radio edit ],discopolis,"dance , music",2013
59,61,tropico,lana del rey,"alternative , music",2013
60,62,everything you never had ( we had it all ) [ esrr edit ] [ feat . andreya triana ],breach,"dance , music",2014
61,63,west coast ( mk remix ),lana del rey,"alternative , music , rock",2014
62,64,abandon window ( tmatnb edit ),jon hopkins,"dance , music , electronic",2014
63,65,all of me ( ti ' âsto 's birthday treatment remix - radio edit ),john legend,"pop , music",2014
64,66,a mother 's prayer,c ' © line dion,"soundtrack , music",2014
65,67,this is what it feels like ( feat . trevor guthrie ),armin van buuren,"fitness & workout , music",2013
66,68,boy ( mk deep dub ),k.e.l.s.e.y.,"dance , music",2013
