,_id,ltable_id,rtable_id,ltable_Song_Name,ltable_Artist_Name,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Released
0,0,191,44962,with love,hilary duff,2008,with love,thin lizzy,1979
1,1,446,44377,give me love,ed sheeran,2011,give me love,santana,1977
2,2,465,56597,friends,ed sheeran,2014,friends,cymande,1972
3,3,511,10189,she,ed sheeran,2011,she,edie brickell & new bohemians,1988
4,4,511,12177,she,ed sheeran,2011,she,green day,1994
5,5,511,74723,she,ed sheeran,2011,she,misfits,1986
6,6,744,61828,heartbreaker,justin bieber,2013,heartbreaker,crazy p,2011
7,7,759,57885,hold tight,justin bieber,2013,hold tight,change,1981
8,8,899,26272,hold on,mandy musgrave,2006,hold on,rosanne cash,1979
9,9,899,46011,hold on,mandy musgrave,2006,hold on,santana,1983
10,10,899,67684,hold on,mandy musgrave,2006,hold on,half pint,2007
11,11,899,69154,hold on,mandy musgrave,2006,hold on,kbong,2014
12,12,899,69989,hold on,mandy musgrave,2006,hold on,the elovaters,2018
13,13,899,72937,hold on,mandy musgrave,2006,hold on,ian gomm,1978
14,14,899,76100,hold on,mandy musgrave,2006,hold on,pearl jam,1993
15,15,899,78236,hold on,mandy musgrave,2006,hold on,korn,2007
16,16,950,1707,white christmas,taylor swift,2007,white christmas,andy williams,1963
17,17,950,54626,white christmas,taylor swift,2007,white christmas,bing crosby,1954
18,18,950,55203,white christmas,taylor swift,2007,white christmas,dean martin,1959
19,19,983,52653,home,dierks bentley,2012,home,aynsley lister,2013
20,20,983,76684,home,dierks bentley,2012,home,depeche mode,1997
21,21,1011,81329,close your eyes,dan + shay,2014,close your eyes,j-kwon,2009
22,22,1016,79038,tempest,deftones,2015,tempest,deftones,2012
23,23,1019,3310,together,"disclosure , sam smith , nile rodgers & james napier",2013,together,harry nilsson,1968
24,24,1048,3310,together,"sam smith , nile rodgers , disclosure & jimmy napes",2013,together,harry nilsson,1968
25,25,1451,790,call me,shinedown,2008,call me,johnny mathis,1959
26,26,1451,7996,call me,shinedown,2008,call me,blondie,1981
27,27,1451,64699,call me,shinedown,2008,call me,ken boothe,1986
28,28,1864,7794,love song,p!nk,2003,love song,simple minds,1981
29,29,1864,69193,love song,p!nk,2003,love song,etana,2014
30,30,1885,81632,do your thing,ozomatli,2011,do your thing,todd terry,2013
31,31,1891,49608,trouble,p!nk,2003,trouble,widespread panic,2001
32,32,1891,70514,trouble,p!nk,2003,trouble,elvis presley,1958
33,33,2016,1707,white christmas,the henningsens,2014,white christmas,andy williams,1963
34,34,2016,54626,white christmas,the henningsens,2014,white christmas,bing crosby,1954
35,35,2016,55203,white christmas,the henningsens,2014,white christmas,dean martin,1959
36,36,2058,35430,laughed until we cried,jason aldean,2007,laughed until we cried,jason aldean,2007
37,37,2064,79505,let go,ryan adams,2014,let go,rac,2014
38,38,2097,79505,let go,ryan adams,2014,let go,rac,2014
39,39,2104,7287,voices,ryan adams,2014,voices,cheap trick,1979
40,40,2447,21153,silent night,johnny cash,2007,silent night,the louvin brothers,1961
41,41,2447,55475,silent night,johnny cash,2007,silent night,bing crosby,1962
42,42,2776,26024,take your time,sam hunt,2015,take your time,jefferson starship,1978
43,43,2920,9380,i believe,yolanda adams,2003,i believe,tears for fears,1985
44,44,2920,12533,i believe,yolanda adams,2003,i believe,blessid union of souls,1995
45,45,2920,23893,i believe,yolanda adams,2003,i believe,dolly parton,1971
46,46,2920,30309,i believe,yolanda adams,2003,i believe,diamond rio,1991
47,47,2920,69172,i believe,yolanda adams,2003,i believe,soja,2014
48,48,2983,80114,kids,style of eye,2014,kids,onerepublic,2016
49,49,3176,21153,silent night,the temptations,2008,silent night,the louvin brothers,1961
50,50,3176,55475,silent night,the temptations,2008,silent night,bing crosby,1962
51,51,3217,741,winter wonderland,tony bennett & lady gaga,2014,winter wonderland,connie francis,1959
52,52,3217,1986,winter wonderland,tony bennett & lady gaga,2014,winter wonderland,darlene love,1963
53,53,3217,49840,winter wonderland,tony bennett & lady gaga,2014,winter wonderland,ella fitzgerald,2002
54,54,3217,54389,winter wonderland,tony bennett & lady gaga,2014,winter wonderland,the andrews sisters,1951
55,55,3217,59291,winter wonderland,tony bennett & lady gaga,2014,winter wonderland,kenny g,1994
56,56,3291,18559,we dem boyz,wiz khalifa,2014,we dem boyz,wiz khalifa,2014
57,57,3885,17115,marry me,jason derulo,2014,marry me,train,2010
58,58,3885,36522,marry me,jason derulo,2014,marry me,martina mcbride,2011
59,59,3931,14830,breathing,jason derulo,2011,breathing,yellowcard,2003
60,60,4188,10807,how long will i love you,ellie goulding,2013,how long will i love you,the waterboys,1990
61,61,4256,16232,one of those nights,shawn mendes,2015,one of those nights,the cab,2008
62,62,4372,34500,days go by,keith urban,2015,days go by,keith urban,2004
63,63,4372,69389,days go by,keith urban,2015,days go by,peach fur,2015
64,64,4425,17691,summer love,one direction,2012,summer love,one direction,2012
65,65,4544,34418,these are the days,keith urban,2004,these are the days,keith urban,2004
66,66,4544,60742,these are the days,keith urban,2004,these are the days,jamie cullum,2004
67,67,4581,59893,for you,keith urban,2012,for you,brian hughes,1999
68,68,4581,77376,for you,keith urban,2012,for you,staind,2001
69,69,4639,72875,the stranger,b ' © la fleck & the flecktones,1996,the stranger,billy joel,1977
70,70,4751,18109,wrecking ball,miley cyrus,2014,wrecking ball,miley cyrus,2013
71,71,4751,52214,wrecking ball,miley cyrus,2014,wrecking ball,joe walsh,2012
72,72,4751,78428,wrecking ball,miley cyrus,2014,wrecking ball,mother mother,2008
73,73,4752,18082,unconditionally,katy perry,2014,unconditionally,katy perry,2013
74,74,4755,76708,demons,imagine dragons,2014,demons,guster,1997
75,75,4755,79183,demons,imagine dragons,2014,demons,imagine dragons,2012
76,76,4773,18016,come & get it,selena gomez,2013,come & get it,selena gomez,2013
77,77,4783,17557,heart attack,demi lovato,2013,heart attack,trey songz,2012
78,78,4802,20090,paradise,tiìçsto & dyro,2013,paradise,bazzi,2019
