,_id,ltable_id,rtable_id,ltable_Song_Name,ltable_Artist_Name,ltable_Genre,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Genre,rtable_Released
0,0,4292,68221,see you again,elle king,"alternative , music , rock",2015,see you again,beres hammond,reggae,2009
1,1,4902,77251,hot dog,lmfao,"pop , music , r&b / soul,electronic,dance,rock,hip-hop / rap , rap",2011,hot dog,limp bizkit,rock,2000
2,2,5066,77563,always,david guetta & jd davis,"dance , music , rock , pop , house , electronic , electronica , adult alternative",2007,always,saliva,rock,2002
3,3,5131,81330,money machine,birdman,"hip-hop/rap , music , dirty south",2009,money machine,ying yang twins,hip hop,2009
4,4,5171,14809,i believe i can fly,ken jeong,"soundtrack , music",2013,i believe i can fly,me first and the gimme gimmes,pop,2003
5,5,5241,75359,here i am,nicki minaj,"hip-hop/rap , music , r&b / soul , contemporary r&b , rock , rap",2010,here i am,skid row,rock,1989
6,6,5482,37799,broke record,eric church,"country , music , contemporary country , urban cowboy",2014,broke record,eric church,country,2014
7,7,5578,64421,islands in the stream,dolly parton & kenny rogers,"country , music",2015,islands in the stream,owen gray,reggae,1983
8,8,5655,78091,this is halloween,marilyn manson,"soundtrack , music",2006,this is halloween,marilyn manson,rock,2006
9,9,5886,36237,all for you,keith urban,"country , music , honky tonk , pop , pop/rock , contemporary country , rock",2011,all for you,keith urban,country,2010
10,10,5962,68221,see you again,carrie underwood,"country , music",2014,see you again,beres hammond,reggae,2009
11,11,6402,7079,i believe in you,nick jonas,"soundtrack , music , pop , soundtrack , musicals",2012,i believe in you,bob dylan,pop,1979
12,12,6412,33550,tear it down,meaghan martin & matthew `` mdot '' finley,"soundtrack , music",2010,tear it down,old crow medicine show,country,2001
13,13,6731,16966,the best day,taylor swift,"country , music , rock , honky tonk , pop , adult contemporary , contemporary country",2008,the best day,atmosphere,pop,2010
